class	verdict	registration_name	image_occurrences	nul_terminated_runs	zh_registers_it	ledger_rows	claimed_rvas
ToppleUpdate	REGISTERED	ToppleUpdate	3	2	yes	12	0x0003FC97 0x0011BB50 0x0011BBD0 0x002B0F60 0x002B0FE0 0x002B1060 0x002B1180 0x002B1210 0x002B12C0 0x002B13A0 0x002B1580 0x002B15B0
TransitionDamageFX	REGISTERED	TransitionDamageFX	3	1	yes	12	0x000041FB 0x0000A5AB 0x00020C43 0x00124740 0x00124770 0x00251CF0 0x00252F50 0x00253000 0x002532B0 0x002534D0 0x00253500 0x007EFFF0
TransitionDamageFXModuleData	REGISTERED	TransitionDamageFX	3	1	yes	12	0x000041FB 0x0000A5AB 0x00020C43 0x00124740 0x00124770 0x00251CF0 0x00252F50 0x00253000 0x002532B0 0x002534D0 0x00253500 0x007EFFF0
TransportAIUpdate	REGISTERED	TransportAIUpdate	3	2	yes	10	0x00116860 0x0011BD80 0x00271DB0 0x0027E4E0 0x0027EAE0 0x0027F130 0x002C7020 0x002C70D0 0x002C71D0 0x007EFFF0
TransportContain	REGISTERED	TransportContain	4	2	yes	12	0x00115C50 0x00125470 0x0021D560 0x0021FC80 0x002276C0 0x0022CEC0 0x0022CF60 0x0022D010 0x0022D0E0 0x0022D3C0 0x0022D590 0x007EFFF0
TunnelContain	REGISTERED	TunnelContain	2	1	yes	12	0x00116470 0x00116530 0x0022EE70 0x0022F040 0x0022F1B0 0x0022F200 0x0022F370 0x0022F640 0x0024B580 0x0024B630 0x0024B660 0x007EFFF0
UndeadBody	ABSENT	UndeadBody	0	0	yes	1	0x005BF290
UnitCrateCollide	REGISTERED	UnitCrateCollide	1	1	yes	10	0x0011F030 0x00125EA0 0x00125F10 0x001270C0 0x001270F0 0x00218870 0x002188C0 0x002188F0 0x00218990 0x007EFFF0
UnpauseSpecialPowerUpgrade	REGISTERED	UnpauseSpecialPowerUpgrade	1	1	yes	7	0x0011D740 0x0011D7C0 0x002D9760 0x002D97D0 0x002D99B0 0x002D9A10 0x007EFFF0
UpdateModule	UNREGISTERED_NAMED	UpdateModule	135	5	no	14	0x0011A130 0x0011A150 0x00124080 0x001B2FB0 0x001EEBC0 0x0027E4E0 0x0027EAE0 0x0028D700 0x002A1710 0x002B1FD0 0x002B2020 0x002B2040 +2-more-see---rows
UpgradeDie	REGISTERED	UpgradeDie	1	1	yes	9	0x00117B40 0x00123560 0x001256A0 0x00125710 0x00126870 0x001268A0 0x002560E0 0x00256140 0x007EFFF0
UpgradeDieModuleData	REGISTERED	UpgradeDie	1	1	yes	9	0x00117B40 0x00123560 0x001256A0 0x00125710 0x00126870 0x001268A0 0x002560E0 0x00256140 0x007EFFF0
UpgradeModule	UNREGISTERED_NAMED	UpgradeModule	1	1	no	6	0x0011A150 0x00128D20 0x00128DA0 0x00128FA0 0x001F8920 0x001F8930
UpgradeSoundSelectorClientBehavior	REGISTERED	UpgradeSoundSelectorClientBehavior	1	1	no	7	0x00113DA0 0x00121ED0 0x00124B30 0x006085A0 0x00608DC0 0x00608F80 0x00609030
VeterancyCrateCollide	REGISTERED	VeterancyCrateCollide	1	1	yes	9	0x0011F0E0 0x00125FD0 0x00218BE0 0x00218C30 0x00218CA0 0x00218D40 0x00218D90 0x005BF290 0x007EFFF0
VeterancyGainCreate	ABSENT	VeterancyGainCreate	0	0	yes	0	
W3DBuffDraw	REGISTERED	W3DBuffDraw	2	1	no	5	0x006BF7A0 0x006BF820 0x00750240 0x00750380 0x00750410
W3DDebrisDraw	REGISTERED	W3DDebrisDraw	1	1	yes	6	0x00113BE0 0x006BEF40 0x007505C0 0x007506A0 0x00750CC0
W3DDefaultDraw	REGISTERED	W3DDefaultDraw	2	2	yes	4	0x0027F130 0x005BF290 0x006BEFC0 0x00751260
W3DDependencyModelDraw	ABSENT	W3DDependencyModelDraw	0	0	yes	0	
W3DFloorDraw	REGISTERED	W3DFloorDraw	2	1	no	5	0x006BF9C0 0x006BFA40 0x007516C0 0x007517A0 0x00751840
W3DHordeModelDraw	REGISTERED	W3DHordeModelDraw	2	1	no	5	0x006BFBE0 0x006BFC60 0x00751C30 0x00751CF0 0x00751DE0
W3DLaserDraw	REGISTERED	W3DLaserDraw	1	1	yes	9	0x00114320 0x001FE190 0x001FE260 0x006BF150 0x006CF660 0x00756E40 0x00757A50 0x00757BE0
W3DLightDraw	REGISTERED	W3DLightDraw	1	1	no	3	0x006BFB50 0x007586F0 0x00758780
W3DModelDraw	ABSENT	W3DModelDraw	0	0	yes	38	0x0005C5D0 0x00069200 0x000FB9C0 0x0010BDB0 0x0011F9C0 0x0020E2C0 0x0020E310 0x0020E430 0x0020E940 0x002109B0 0x00213750 0x00262FA0 +22-more-see---rows
W3DOverlordAircraftDraw	ABSENT	W3DOverlordAircraftDraw	0	0	yes	1	0x0011F9C0
W3DOverlordTankDraw	ABSENT	W3DOverlordTankDraw	0	0	yes	3	0x0011E130 0x002D36B0 0x005BF290
W3DOverlordTruckDraw	ABSENT	W3DOverlordTruckDraw	0	0	yes	1	0x00429460
W3DPoliceCarDraw	UNREGISTERED_NAMED	W3DPoliceCarDraw	2	1	yes	3	0x00758C30 0x00758DA0 0x00758E40
W3DProjectileStreamDraw	ABSENT	W3DProjectileStreamDraw	0	0	yes	3	0x001194C0 0x00369CF0 0x00369FD0
W3DPropDraw	REGISTERED	W3DPropDraw	1	1	yes	7	0x000A71C0 0x000A7210 0x0027F130 0x005BF290 0x006BF8B0 0x007592C0
W3DQuadrupedDraw	REGISTERED	W3DQuadrupedDraw	1	1	no	6	0x006BF260 0x006BFE00 0x006BFEB0 0x006BFF70 0x00759730 0x007597B0
W3DRopeDraw	REGISTERED	W3DRopeDraw	2	1	yes	34	0x000FB9C0 0x0010BDB0 0x00113BE0 0x0027F130 0x00570920 0x00574CD0 0x006079F0 0x006BF2E0 0x00759EA0 0x00759EB0 0x00759ED0 0x00759F80 +22-more-see---rows
W3DScienceModelDraw	ABSENT	W3DScienceModelDraw	0	0	yes	0	
W3DScriptedModelDraw	REGISTERED	W3DScriptedModelDraw	2	1	no	3	0x006BF040 0x006BF0C0 0x00773950
W3DStreakDraw	REGISTERED	W3DStreakDraw	1	1	no	6	0x006BFCF0 0x006BFD70 0x0077D450 0x0077D510 0x0077D620 0x0077D930
W3DSupplyDraw	REGISTERED	W3DSupplyDraw	1	1	yes	7	0x006BF360 0x006BF3E0 0x0077DB70 0x0077DC20 0x0077DD50 0x0077DDF0
W3DTankDraw	REGISTERED	W3DTankDraw	1	1	yes	14	0x006BF580 0x006BF600 0x0077E0A0 0x0077E0C0 0x0077E1F0 0x0077E260 0x0077E2F0 0x0077E320 0x0077EA70 0x0077EBA0 0x0077EC40 0x0077EDD0 +1-more-see---rows
W3DTankTruckDraw	ABSENT	W3DTankTruckDraw	0	0	yes	7	0x0077E0A0 0x0077FD80 0x0077FE70 0x007800A0 0x00781390 0x00781520 0x007815E0
W3DTracerDraw	ABSENT	W3DTracerDraw	0	0	yes	0	
W3DTreeDraw	REGISTERED	W3DTreeDraw	2	1	yes	8	0x006BF690 0x006BF710 0x0077F1C0 0x0077F2D0 0x0077F360 0x0077F460 0x0077F540
W3DTruckDraw	REGISTERED	W3DTruckDraw	1	1	yes	5	0x006BF470 0x006BF4F0 0x0077FB20 0x0077FCE0
WallUpgradeUpdate	REGISTERED	WallUpgradeUpdate	1	1	no	4	0x0011C170 0x002B2270 0x002B2380 0x002B25A0
WanderAIUpdate	REGISTERED	WanderAIUpdate	3	1	yes	9	0x0011BE60 0x0011BEE0 0x00271DB0 0x0027E4E0 0x0027EAE0 0x002C7520 0x002C75C0 0x002C7700 0x007EFFF0
WargBehavior	REGISTERED	WargBehavior	1	1	no	3	0x00115620 0x0020D980 0x0020D9D0
WaveGuideUpdate	ABSENT	WaveGuideUpdate	0	0	yes	0	
WeaponBonusUpdate	ABSENT	WeaponBonusUpdate	0	0	yes	1	0x00123620
WeaponBonusUpgrade	REGISTERED	WeaponBonusUpgrade	1	1	yes	5	0x0011D850 0x00129C10 0x002DA320 0x002DA390 0x007EFFF0
WeaponChangeSpecialPowerModule	REGISTERED	WeaponChangeSpecialPowerModule	1	1	no	8	0x001203D0 0x00120450 0x0026CC80 0x0026CCD0 0x0026CD00 0x0026CD60 0x0026CE40 0x0026CF10
WeaponFireSpecialAbilityUpdate	REGISTERED	WeaponFireSpecialAbilityUpdate	1	1	no	8	0x001193B0 0x00119430 0x0026D320 0x0026D3F0 0x0026D550 0x0026D630 0x0026D670 0x0026D7B0
WeaponModeSpecialPowerUpdate	REGISTERED	WeaponModeSpecialPowerUpdate	1	1	no	6	0x00119670 0x001196F0 0x0026A820 0x002B2BD0 0x002B2CF0 0x002B2D70
WeaponSetSpecialAbilityUpdate	REGISTERED	WeaponSetSpecialAbilityUpdate	1	1	no	8	0x00119270 0x001192F0 0x0026DC20 0x0026DC50 0x0026DCB0 0x0026DCF0 0x0026DDD0 0x002A9850
WeaponSetUpgrade	REGISTERED	WeaponSetUpgrade	2	1	yes	5	0x0011D8D0 0x00129C10 0x002DA4E0 0x002DA550 0x007EFFF0
WorkerAIUpdate	REGISTERED	WorkerAIUpdate	4	2	yes	27	0x000D1690 0x000D3E80 0x0011BF80 0x0011C060 0x0011C0E0 0x001F8AB0 0x002C7A80 0x002C7BD0 0x002C7D60 0x002C7D70 0x002C7E30 0x002C7EE0 +15-more-see---rows
WoundArrowUpdate	REGISTERED	WoundArrowUpdate	1	1	no	7	0x00120F90 0x00121010 0x0026DF50 0x0026DFB0 0x0026E010 0x0026E050 0x0026E130
